Time,Depth 1,Load 1,Depth 2,Load 2,Depth 3,Load 3,Depth 4,Load 4
0,0,0,0,0,0,0,0,0
0.01021,0.24947,1.48E-04,0.09127,2.54E-04,0.06503,-1.99E-05,0.55201,1.59E-04
0.02022,0.87581,2.71E-04,0.19293,2.42E-04,-0.3258,1.78E-04,0.51959,2.75E-04
0.03404,1.00556,0.00211,0.64269,0.00241,0.40009,0.00212,0.50446,0.00202
0.045,1.92345,0.00428,1.46037,0.00433,0.78408,0.00382,1.00825,0.00454
0.05501,2.90865,0.00613,1.65564,0.00705,1.38882,0.00617,2.36084,0.0062
0.06593,4.03017,0.00823,2.53605,0.00836,1.76108,0.00834,3.04099,0.00858
0.0769,4.76266,0.01041,2.47912,0.01052,1.82675,0.01059,3.36032,0.01054
0.08787,5.15159,0.01246,2.94021,0.0131,2.12972,0.01267,4.04896,0.01244
0.09894,5.83471,0.01416,3.9593,0.01482,2.29639,0.0145,4.70517,0.01404
0.1099,5.75225,0.01676,4.22289,0.01688,2.70922,0.01679,4.67802,0.01689
0.11994,6.33235,0.01886,4.33918,0.01965,3.2453,0.01911,5.34589,0.01865
0.12995,6.38235,0.02075,4.60766,0.02086,3.29843,0.02098,5.6323,0.02065
0.14087,6.54689,0.02234,4.9017,0.02318,4.08737,0.02318,6.33865,0.02286
0.15089,6.44852,0.02527,4.9205,0.02478,4.07866,0.02507,7.05634,0.02489
0.16187,7.10933,0.02719,5.8291,0.02738,4.10717,0.02709,7.32488,0.02659
0.17287,7.15764,0.02992,6.03768,0.02983,4.4953,0.02911,7.42514,0.02925
0.18381,7.93001,0.03147,6.05234,0.03204,5.03431,0.03141,7.93249,0.03146
0.1948,7.72724,0.03368,6.0046,0.03351,5.47205,0.03336,8.20199,0.03347
0.20577,8.07465,0.03579,6.49884,0.03571,6.01234,0.03588,8.71525,0.03554
0.21682,7.92563,0.038,6.57491,0.03777,6.26749,0.03739,8.96705,0.03748
0.22776,8.18825,0.03967,6.842,0.03996,6.35355,0.03968,9.24787,0.04005
0.23865,8.63282,0.04232,6.45619,0.04203,6.606,0.04137,10.08401,0.04178
0.24957,8.72104,0.04447,7.02037,0.04412,6.73091,0.04405,10.1614,0.04375
0.25967,8.65599,0.04679,7.45906,0.04617,6.95141,0.04606,10.45163,0.04638
0.27072,9.00819,0.04868,7.72971,0.04854,7.11721,0.04796,11.1037,0.04786
0.28074,9.46949,0.05068,7.72673,0.05021,7.1424,0.04999,11.20525,0.05007
0.29166,9.21108,0.05242,8.03834,0.05263,7.13435,0.05215,11.40204,0.052
0.30265,9.25562,0.05505,7.88652,0.05492,7.74941,0.05434,11.56603,0.05376
